Measure,Ethnicity,Ethnicity_type,Time,Time_type,Geography,Geography_type,Geography code,Gender,Age,Socio-economic classification,Household income,Value,Value_type,Sample size,Standard error,Lower CI,Upper CI
Confidence in police - Crime Survey England and Wales,Mixed,ONS 2011  5 + 1,"2014/15, 2015/16 and 2016/17",3 years combined,City of London / Metropolitan Police,ONS geography code,E12000007,All,16+,All,All,66.70241256,%,290,2.767439632,61.27823088,72.12659424
Confidence in police - Crime Survey England and Wales,Mixed,ONS 2011  5 + 1,"2014/15, 2015/16 and 2016/17",3 years combined,South East,ONS geography code,E12000008,All,16+,All,All,73.7689453,%,134,3.800075843,66.32079665,81.21709395
Confidence in police - Crime Survey England and Wales,Mixed,ONS 2011  5 + 1,"2014/15, 2015/16 and 2016/17",3 years combined,Hampshire,ONS geography code,E23000030,All,16+,All,All,?,%,17,?,?,?
Confidence in police - Crime Survey England and Wales,Mixed,ONS 2011  5 + 1,"2014/15, 2015/16 and 2016/17",3 years combined,Kent,ONS geography code,E23000032,All,16+,All,All,?,%,29,?,?,?
Confidence in police - Crime Survey England and Wales,Mixed,ONS 2011  5 + 1,"2014/15, 2015/16 and 2016/17",3 years combined,Surrey,ONS geography code,E23000031,All,16+,All,All,?,%,21,?,?,?
Confidence in police - Crime Survey England and Wales,Mixed,ONS 2011  5 + 1,"2014/15, 2015/16 and 2016/17",3 years combined,Sussex,ONS geography code,E23000033,All,16+,All,All,?,%,22,?,?,?
Confidence in police - Crime Survey England and Wales,Mixed,ONS 2011  5 + 1,"2014/15, 2015/16 and 2016/17",3 years combined,Thames Valley,ONS geography code,E23000029,All,16+,All,All,?,%,45,?,?,?
Confidence in police - Crime Survey England and Wales,Mixed,ONS 2011  5 + 1,"2014/15, 2015/16 and 2016/17",3 years combined,South West,ONS geography code,E12000009,All,16+,All,All,76.11332243,%,88,4.545345261,67.20444572,85.02219914
Confidence in police - Crime Survey England and Wales,Mixed,ONS 2011  5 + 1,"2014/15, 2015/16 and 2016/17",3 years combined,Avon and Somerset,ONS geography code,E23000036,All,16+,All,All,?,%,26,?,?,?
Confidence in police - Crime Survey England and Wales,Mixed,ONS 2011  5 + 1,"2014/15, 2015/16 and 2016/17",3 years combined,Devon and Cornwall,ONS geography code,E23000035,All,16+,All,All,?,%,14,?,?,?
Confidence in police - Crime Survey England and Wales,Mixed,ONS 2011  5 + 1,"2014/15, 2015/16 and 2016/17",3 years combined,Dorset,ONS geography code,E23000039,All,16+,All,All,?,%,16,?,?,?
Confidence in police - Crime Survey England and Wales,Mixed,ONS 2011  5 + 1,"2014/15, 2015/16 and 2016/17",3 years combined,Gloucestershire,ONS geography code,E23000037,All,16+,All,All,?,%,18,?,?,?
Confidence in police - Crime Survey England and Wales,Mixed,ONS 2011  5 + 1,"2014/15, 2015/16 and 2016/17",3 years combined,Wiltshire,ONS geography code,E23000038,All,16+,All,All,?,%,14,?,?,?
Confidence in police - Crime Survey England and Wales,Mixed,ONS 2011  5 + 1,"2014/15, 2015/16 and 2016/17",3 years combined,Wales,ONS geography code,W92000004,All,16+,All,All,?,%,35,?,?,?
Confidence in police - Crime Survey England and Wales,Mixed,ONS 2011  5 + 1,"2014/15, 2015/16 and 2016/17",3 years combined,Dyfed-Powys,ONS geography code,W15000004,All,16+,All,All,?,%,1,?,?,?
Confidence in police - Crime Survey England and Wales,Mixed,ONS 2011  5 + 1,"2014/15, 2015/16 and 2016/17",3 years combined,Gwent,ONS geography code,W15000002,All,16+,All,All,?,%,10,?,?,?
Confidence in police - Crime Survey England and Wales,Mixed,ONS 2011  5 + 1,"2014/15, 2015/16 and 2016/17",3 years combined,North Wales,ONS geography code,W15000001,All,16+,All,All,?,%,7,?,?,?
Confidence in police - Crime Survey England and Wales,Mixed,ONS 2011  5 + 1,"2014/15, 2015/16 and 2016/17",3 years combined,South Wales,ONS geography code,W15000003,All,16+,All,All,?,%,17,?,?,?
Confidence in police - Crime Survey England and Wales,Asian,ONS 2011  5 + 1,"2014/15, 2015/16 and 2016/17",3 years combined,England and Wales,ONS geography code,K04000001,All,16+,All,All,79.02207327,%,5323,0.558055328,77.92828483,80.11586172
Confidence in police - Crime Survey England and Wales,Asian,ONS 2011  5 + 1,"2014/15, 2015/16 and 2016/17",3 years combined,North East,ONS geography code,E12000001,All,16+,All,All,86.61284332,%,107,3.291875732,80.16076688,93.06491975
Confidence in police - Crime Survey England and Wales,Asian,ONS 2011  5 + 1,"2014/15, 2015/16 and 2016/17",3 years combined,Cleveland,ONS geography code,E23000013,All,16+,All,All,?,%,41,?,?,?
Confidence in police - Crime Survey England and Wales,Asian,ONS 2011  5 + 1,"2014/15, 2015/16 and 2016/17",3 years combined,Durham,ONS geography code,E23000008,All,16+,All,All,?,%,12,?,?,?
Confidence in police - Crime Survey England and Wales,Asian,ONS 2011  5 + 1,"2014/15, 2015/16 and 2016/17",3 years combined,Northumbria,ONS geography code,E23000007,All,16+,All,All,91.51249231,%,54,3.792568225,84.07905859,98.94592603
Confidence in police - Crime Survey England and Wales,Asian,ONS 2011  5 + 1,"2014/15, 2015/16 and 2016/17",3 years combined,North West,ONS geography code,E12000002,All,16+,All,All,74.55638185,%,477,1.994218115,70.64771434,78.46504935
Confidence in police - Crime Survey England and Wales,Asian,ONS 2011  5 + 1,"2014/15, 2015/16 and 2016/17",3 years combined,Cheshire,ONS geography code,E23000006,All,16+,All,All,?,%,25,?,?,?
Confidence in police - Crime Survey England and Wales,Asian,ONS 2011  5 + 1,"2014/15, 2015/16 and 2016/17",3 years combined,Cumbria,ONS geography code,E23000002,All,16+,All,All,?,%,14,?,?,?
Confidence in police - Crime Survey England and Wales,Asian,ONS 2011  5 + 1,"2014/15, 2015/16 and 2016/17",3 years combined,Greater Manchester,ONS geography code,E23000005,All,16+,All,All,70.7433,%,283,2.704345087,65.44278363,76.04381637
Confidence in police - Crime Survey England and Wales,Asian,ONS 2011  5 + 1,"2014/15, 2015/16 and 2016/17",3 years combined,Lancashire,ONS geography code,E23000003,All,16+,All,All,79.27112512,%,118,3.731679808,71.9570327,86.58521755
Confidence in police - Crime Survey England and Wales,Asian,ONS 2011  5 + 1,"2014/15, 2015/16 and 2016/17",3 years combined,Merseyside,ONS geography code,E23000004,All,16+,All,All,?,%,37,?,?,?
Confidence in police - Crime Survey England and Wales,Asian,ONS 2011  5 + 1,"2014/15, 2015/16 and 2016/17",3 years combined,Yorkshire and the Humber,ONS geography code,E12000003,All,16+,All,All,73.41747895,%,396,2.21998594,69.0663065,77.76865139
Confidence in police - Crime Survey England and Wales,Asian,ONS 2011  5 + 1,"2014/15, 2015/16 and 2016/17",3 years combined,Humberside,ONS geography code,E23000012,All,16+,All,All,?,%,20,?,?,?
Confidence in police - Crime Survey England and Wales,Asian,ONS 2011  5 + 1,"2014/15, 2015/16 and 2016/17",3 years combined,North Yorkshire,ONS geography code,E23000009,All,16+,All,All,?,%,17,?,?,?
Confidence in police - Crime Survey England and Wales,Asian,ONS 2011  5 + 1,"2014/15, 2015/16 and 2016/17",3 years combined,South Yorkshire,ONS geography code,E23000011,All,16+,All,All,73.64016798,%,56,5.887551119,62.10056779,85.17976817
Confidence in police - Crime Survey England and Wales,Asian,ONS 2011  5 + 1,"2014/15, 2015/16 and 2016/17",3 years combined,West Yorkshire,ONS geography code,E23000010,All,16+,All,All,73.01539374,%,303,2.5500221,68.01735043,78.01343706
Confidence in police - Crime Survey England and Wales,Asian,ONS 2011  5 + 1,"2014/15, 2015/16 and 2016/17",3 years combined,East Midlands,ONS geography code,E12000004,All,16+,All,All,82.3397618,%,429,1.841087526,78.73123025,85.94829336
Confidence in police - Crime Survey England and Wales,Asian,ONS 2011  5 + 1,"2014/15, 2015/16 and 2016/17",3 years combined,Derbyshire,ONS geography code,E23000018,All,16+,All,All,82.20118413,%,57,5.066373042,72.27109297,92.1312753
Confidence in police - Crime Survey England and Wales,Asian,ONS 2011  5 + 1,"2014/15, 2015/16 and 2016/17",3 years combined,Leicestershire,ONS geography code,E23000021,All,16+,All,All,83.66051999,%,234,2.416971152,78.92325653,88.39778345
Confidence in police - Crime Survey England and Wales,Asian,ONS 2011  5 + 1,"2014/15, 2015/16 and 2016/17",3 years combined,Lincolnshire,ONS geography code,E23000020,All,16+,All,All,?,%,18,?,?,?
Confidence in police - Crime Survey England and Wales,Asian,ONS 2011  5 + 1,"2014/15, 2015/16 and 2016/17",3 years combined,Northamptonshire,ONS geography code,E23000022,All,16+,All,All,70.55875675,%,51,6.382171124,58.04970135,83.06781215
Confidence in police - Crime Survey England and Wales,Asian,ONS 2011  5 + 1,"2014/15, 2015/16 and 2016/17",3 years combined,Nottinghamshire,ONS geography code,E23000019,All,16+,All,All,82.85040543,%,69,4.537845468,73.95622832,91.74458255
Confidence in police - Crime Survey England and Wales,Asian,ONS 2011  5 + 1,"2014/15, 2015/16 and 2016/17",3 years combined,West Midlands Region,ONS geography code,E12000005,All,16+,All,All,75.12587771,%,681,1.656513983,71.8791103,78.37264511
Confidence in police - Crime Survey England and Wales,Asian,ONS 2011  5 + 1,"2014/15, 2015/16 and 2016/17",3 years combined,Staffordshire,ONS geography code,E23000015,All,16+,All,All,?,%,49,?,?,?
Confidence in police - Crime Survey England and Wales,Asian,ONS 2011  5 + 1,"2014/15, 2015/16 and 2016/17",3 years combined,Warwickshire,ONS geography code,E23000017,All,16+,All,All,87.04906975,%,76,3.851463206,79.50020186,94.59793763
Confidence in police - Crime Survey England and Wales,Asian,ONS 2011  5 + 1,"2014/15, 2015/16 and 2016/17",3 years combined,West Mercia,ONS geography code,E23000016,All,16+,All,All,?,%,36,?,?,?
Confidence in police - Crime Survey England and Wales,Asian,ONS 2011  5 + 1,"2014/15, 2015/16 and 2016/17",3 years combined,West Midlands,ONS geography code,E23000014,All,16+,All,All,75.16366497,%,520,1.89472444,71.45000507,78.87732487
Confidence in police - Crime Survey England and Wales,Asian,ONS 2011  5 + 1,"2014/15, 2015/16 and 2016/17",3 years combined,East,ONS geography code,E12000006,All,16+,All,All,83.96562843,%,465,1.70157175,80.6305478,87.30070906
Confidence in police - Crime Survey England and Wales,Asian,ONS 2011  5 + 1,"2014/15, 2015/16 and 2016/17",3 years combined,Bedfordshire,ONS geography code,E23000026,All,16+,All,All,75.80324194,%,179,3.201075854,69.52913326,82.07735061
Confidence in police - Crime Survey England and Wales,Asian,ONS 2011  5 + 1,"2014/15, 2015/16 and 2016/17",3 years combined,Cambridgeshire,ONS geography code,E23000023,All,16+,All,All,85.15997304,%,68,4.311026041,76.710362,93.60958408
Confidence in police - Crime Survey England and Wales,Asian,ONS 2011  5 + 1,"2014/15, 2015/16 and 2016/17",3 years combined,Essex,ONS geography code,E23000028,All,16+,All,All,85.98584708,%,66,4.272921805,77.61092034,94.36077382
Confidence in police - Crime Survey England and Wales,Asian,ONS 2011  5 + 1,"2014/15, 2015/16 and 2016/17",3 years combined,Hertfordshire,ONS geography code,E23000027,All,16+,All,All,88.57999848,%,115,2.965869207,82.76689483,94.39310212
Confidence in police - Crime Survey England and Wales,Asian,ONS 2011  5 + 1,"2014/15, 2015/16 and 2016/17",3 years combined,Norfolk,ONS geography code,E23000024,All,16+,All,All,?,%,16,?,?,?
Confidence in police - Crime Survey England and Wales,Asian,ONS 2011  5 + 1,"2014/15, 2015/16 and 2016/17",3 years combined,Suffolk,ONS geography code,E23000025,All,16+,All,All,?,%,21,?,?,?
Confidence in police - Crime Survey England and Wales,Asian,ONS 2011  5 + 1,"2014/15, 2015/16 and 2016/17",3 years combined,London,ONS geography code,E12000007,All,16+,All,All,79.52681177,%,1857,0.936361554,77.69154313,81.36208042
Confidence in police - Crime Survey England and Wales,Asian,ONS 2011  5 + 1,"2014/15, 2015/16 and 2016/17",3 years combined,City of London / Metropolitan Police,ONS geography code,E12000007,All,16+,All,All,79.52681177,%,1857,0.936361554,77.69154313,81.36208042
Confidence in police - Crime Survey England and Wales,Asian,ONS 2011  5 + 1,"2014/15, 2015/16 and 2016/17",3 years combined,South East,ONS geography code,E12000008,All,16+,All,All,81.82443953,%,627,1.540109696,78.80582452,84.84305453
Confidence in police - Crime Survey England and Wales,Asian,ONS 2011  5 + 1,"2014/15, 2015/16 and 2016/17",3 years combined,Hampshire,ONS geography code,E23000030,All,16+,All,All,84.95083187,%,80,3.997560743,77.11561282,92.78605093
Confidence in police - Crime Survey England and Wales,Asian,ONS 2011  5 + 1,"2014/15, 2015/16 and 2016/17",3 years combined,Kent,ONS geography code,E23000032,All,16+,All,All,78.14614565,%,77,4.709474403,68.91557582,87.37671548
Confidence in police - Crime Survey England and Wales,Asian,ONS 2011  5 + 1,"2014/15, 2015/16 and 2016/17",3 years combined,Surrey,ONS geography code,E23000031,All,16+,All,All,81.89093548,%,87,4.128633175,73.79881445,89.9830565
Confidence in police - Crime Survey England and Wales,Asian,ONS 2011  5 + 1,"2014/15, 2015/16 and 2016/17",3 years combined,Sussex,ONS geography code,E23000033,All,16+,All,All,84.19399838,%,67,4.456707966,75.45885076,92.92914599
Confidence in police - Crime Survey England and Wales,Asian,ONS 2011  5 + 1,"2014/15, 2015/16 and 2016/17",3 years combined,Thames Valley,ONS geography code,E23000029,All,16+,All,All,81.36382682,%,316,2.190536585,77.07037511,85.65727852
Confidence in police - Crime Survey England and Wales,Asian,ONS 2011  5 + 1,"2014/15, 2015/16 and 2016/17",3 years combined,South West,ONS geography code,E12000009,All,16+,All,All,83.29222638,%,171,2.852748406,77.7008395,88.88361325
Confidence in police - Crime Survey England and Wales,Asian,ONS 2011  5 + 1,"2014/15, 2015/16 and 2016/17",3 years combined,Avon and Somerset,ONS geography code,E23000036,All,16+,All,All,79.76879039,%,57,5.320960075,69.33970864,90.19787214
Confidence in police - Crime Survey England and Wales,Asian,ONS 2011  5 + 1,"2014/15, 2015/16 and 2016/17",3 years combined,Devon and Cornwall,ONS geography code,E23000035,All,16+,All,All,?,%,19,?,?,?
Confidence in police - Crime Survey England and Wales,Asian,ONS 2011  5 + 1,"2014/15, 2015/16 and 2016/17",3 years combined,Dorset,ONS geography code,E23000039,All,16+,All,All,?,%,26,?,?,?
Confidence in police - Crime Survey England and Wales,Asian,ONS 2011  5 + 1,"2014/15, 2015/16 and 2016/17",3 years combined,Gloucestershire,ONS geography code,E23000037,All,16+,All,All,?,%,34,?,?,?
Confidence in police - Crime Survey England and Wales,Asian,ONS 2011  5 + 1,"2014/15, 2015/16 and 2016/17",3 years combined,Wiltshire,ONS geography code,E23000038,All,16+,All,All,?,%,35,?,?,?
Confidence in police - Crime Survey England and Wales,Asian,ONS 2011  5 + 1,"2014/15, 2015/16 and 2016/17",3 years combined,Wales,ONS geography code,W92000004,All,16+,All,All,85.80814943,%,113,3.282801031,79.37385941,92.24243945
Confidence in police - Crime Survey England and Wales,Asian,ONS 2011  5 + 1,"2014/15, 2015/16 and 2016/17",3 years combined,Dyfed-Powys,ONS geography code,W15000004,All,16+,All,All,?,%,14,?,?,?
Confidence in police - Crime Survey England and Wales,Asian,ONS 2011  5 + 1,"2014/15, 2015/16 and 2016/17",3 years combined,Gwent,ONS geography code,W15000002,All,16+,All,All,?,%,31,?,?,?
Confidence in police - Crime Survey England and Wales,Asian,ONS 2011  5 + 1,"2014/15, 2015/16 and 2016/17",3 years combined,North Wales,ONS geography code,W15000001,All,16+,All,All,?,%,13,?,?,?
Confidence in police - Crime Survey England and Wales,Asian,ONS 2011  5 + 1,"2014/15, 2015/16 and 2016/17",3 years combined,South Wales,ONS geography code,W15000003,All,16+,All,All,85.07156409,%,55,4.805272469,75.65323005,94.48989812
Confidence in police - Crime Survey England and Wales,Black,ONS 2011  5 + 1,"2014/15, 2015/16 and 2016/17",3 years combined,England and Wales,ONS geography code,K04000001,All,16+,All,All,71.49315634,%,2775,0.856989121,69.81345766,73.17285501
Confidence in police - Crime Survey England and Wales,Black,ONS 2011  5 + 1,"2014/15, 2015/16 and 2016/17",3 years combined,North East,ONS geography code,E12000001,All,16+,All,All,?,%,28,?,?,?
Confidence in police - Crime Survey England and Wales,Black,ONS 2011  5 + 1,"2014/15, 2015/16 and 2016/17",3 years combined,Cleveland,ONS geography code,E23000013,All,16+,All,All,?,%,13,?,?,?
Confidence in police - Crime Survey England and Wales,Black,ONS 2011  5 + 1,"2014/15, 2015/16 and 2016/17",3 years combined,Durham,ONS geography code,E23000008,All,16+,All,All,?,%,2,?,?,?
Confidence in police - Crime Survey England and Wales,Black,ONS 2011  5 + 1,"2014/15, 2015/16 and 2016/17",3 years combined,Northumbria,ONS geography code,E23000007,All,16+,All,All,?,%,13,?,?,?
Confidence in police - Crime Survey England and Wales,Black,ONS 2011  5 + 1,"2014/15, 2015/16 and 2016/17",3 years combined,North West,ONS geography code,E12000002,All,16+,All,All,75.31568891,%,166,3.346564409,68.75642267,81.87495515
Confidence in police - Crime Survey England and Wales,Black,ONS 2011  5 + 1,"2014/15, 2015/16 and 2016/17",3 years combined,Cheshire,ONS geography code,E23000006,All,16+,All,All,?,%,5,?,?,?
Confidence in police - Crime Survey England and Wales,Black,ONS 2011  5 + 1,"2014/15, 2015/16 and 2016/17",3 years combined,Cumbria,ONS geography code,E23000002,All,16+,All,All,?,%,4,?,?,?
Confidence in police - Crime Survey England and Wales,Black,ONS 2011  5 + 1,"2014/15, 2015/16 and 2016/17",3 years combined,Greater Manchester,ONS geography code,E23000005,All,16+,All,All,74.31864627,%,130,3.831653031,66.80860633,81.82868621
Confidence in police - Crime Survey England and Wales,Black,ONS 2011  5 + 1,"2014/15, 2015/16 and 2016/17",3 years combined,Lancashire,ONS geography code,E23000003,All,16+,All,All,?,%,5,?,?,?
Confidence in police - Crime Survey England and Wales,Black,ONS 2011  5 + 1,"2014/15, 2015/16 and 2016/17",3 years combined,Merseyside,ONS geography code,E23000004,All,16+,All,All,?,%,22,?,?,?
Confidence in police - Crime Survey England and Wales,Black,ONS 2011  5 + 1,"2014/15, 2015/16 and 2016/17",3 years combined,Yorkshire and the Humber,ONS geography code,E12000003,All,16+,All,All,75.27945359,%,139,3.658978536,68.10785566,82.45105152
Confidence in police - Crime Survey England and Wales,Black,ONS 2011  5 + 1,"2014/15, 2015/16 and 2016/17",3 years combined,Humberside,ONS geography code,E23000012,All,16+,All,All,?,%,12,?,?,?
Confidence in police - Crime Survey England and Wales,Black,ONS 2011  5 + 1,"2014/15, 2015/16 and 2016/17",3 years combined,North Yorkshire,ONS geography code,E23000009,All,16+,All,All,?,%,4,?,?,?
Confidence in police - Crime Survey England and Wales,Black,ONS 2011  5 + 1,"2014/15, 2015/16 and 2016/17",3 years combined,South Yorkshire,ONS geography code,E23000011,All,16+,All,All,?,%,29,?,?,?
Confidence in police - Crime Survey England and Wales,Black,ONS 2011  5 + 1,"2014/15, 2015/16 and 2016/17",3 years combined,West Yorkshire,ONS geography code,E23000010,All,16+,All,All,71.83590112,%,94,4.639324766,62.74282457,80.92897766
Confidence in police - Crime Survey England and Wales,Black,ONS 2011  5 + 1,"2014/15, 2015/16 and 2016/17",3 years combined,East Midlands,ONS geography code,E12000004,All,16+,All,All,76.79282221,%,161,3.327043973,70.27181603,83.3138284
Confidence in police - Crime Survey England and Wales,Black,ONS 2011  5 + 1,"2014/15, 2015/16 and 2016/17",3 years combined,Derbyshire,ONS geography code,E23000018,All,16+,All,All,?,%,12,?,?,?
Confidence in police - Crime Survey England and Wales,Black,ONS 2011  5 + 1,"2014/15, 2015/16 and 2016/17",3 years combined,Leicestershire,ONS geography code,E23000021,All,16+,All,All,?,%,38,?,?,?
Confidence in police - Crime Survey England and Wales,Black,ONS 2011  5 + 1,"2014/15, 2015/16 and 2016/17",3 years combined,Lincolnshire,ONS geography code,E23000020,All,16+,All,All,?,%,8,?,?,?
Confidence in police - Crime Survey England and Wales,Black,ONS 2011  5 + 1,"2014/15, 2015/16 and 2016/17",3 years combined,Northamptonshire,ONS geography code,E23000022,All,16+,All,All,84.08482765,%,59,4.762538357,74.75025247,93.41940282
Confidence in police - Crime Survey England and Wales,Black,ONS 2011  5 + 1,"2014/15, 2015/16 and 2016/17",3 years combined,Nottinghamshire,ONS geography code,E23000019,All,16+,All,All,?,%,44,?,?,?
Confidence in police - Crime Survey England and Wales,Black,ONS 2011  5 + 1,"2014/15, 2015/16 and 2016/17",3 years combined,West Midlands Region,ONS geography code,E12000005,All,16+,All,All,72.76850233,%,284,2.641485992,67.59118979,77.94581488
Confidence in police - Crime Survey England and Wales,Black,ONS 2011  5 + 1,"2014/15, 2015/16 and 2016/17",3 years combined,Staffordshire,ONS geography code,E23000015,All,16+,All,All,?,%,12,?,?,?
Confidence in police - Crime Survey England and Wales,Black,ONS 2011  5 + 1,"2014/15, 2015/16 and 2016/17",3 years combined,Warwickshire,ONS geography code,E23000017,All,16+,All,All,?,%,17,?,?,?
Confidence in police - Crime Survey England and Wales,Black,ONS 2011  5 + 1,"2014/15, 2015/16 and 2016/17",3 years combined,West Mercia,ONS geography code,E23000016,All,16+,All,All,?,%,6,?,?,?
Confidence in police - Crime Survey England and Wales,Black,ONS 2011  5 + 1,"2014/15, 2015/16 and 2016/17",3 years combined,West Midlands,ONS geography code,E23000014,All,16+,All,All,73.27495301,%,249,2.804383089,67.77836216,78.77154386
Confidence in police - Crime Survey England and Wales,Black,ONS 2011  5 + 1,"2014/15, 2015/16 and 2016/17",3 years combined,East,ONS geography code,E12000006,All,16+,All,All,73.46291101,%,265,2.712300289,68.14680244,78.77901957
Confidence in police - Crime Survey England and Wales,Black,ONS 2011  5 + 1,"2014/15, 2015/16 and 2016/17",3 years combined,Bedfordshire,ONS geography code,E23000026,All,16+,All,All,65.63448835,%,98,4.797493791,56.23140052,75.03757618
Confidence in police - Crime Survey England and Wales,Black,ONS 2011  5 + 1,"2014/15, 2015/16 and 2016/17",3 years combined,Cambridgeshire,ONS geography code,E23000023,All,16+,All,All,?,%,31,?,?,?
Confidence in police - Crime Survey England and Wales,Black,ONS 2011  5 + 1,"2014/15, 2015/16 and 2016/17",3 years combined,Essex,ONS geography code,E23000028,All,16+,All,All,70.41697941,%,52,6.329337904,58.01147711,82.8224817
Confidence in police - Crime Survey England and Wales,Black,ONS 2011  5 + 1,"2014/15, 2015/16 and 2016/17",3 years combined,Hertfordshire,ONS geography code,E23000027,All,16+,All,All,81.27655988,%,57,5.166995126,71.14924943,91.40387033
Confidence in police - Crime Survey England and Wales,Black,ONS 2011  5 + 1,"2014/15, 2015/16 and 2016/17",3 years combined,Norfolk,ONS geography code,E23000024,All,16+,All,All,?,%,9,?,?,?
Confidence in police - Crime Survey England and Wales,Black,ONS 2011  5 + 1,"2014/15, 2015/16 and 2016/17",3 years combined,Suffolk,ONS geography code,E23000025,All,16+,All,All,?,%,18,?,?,?
Confidence in police - Crime Survey England and Wales,Black,ONS 2011  5 + 1,"2014/15, 2015/16 and 2016/17",3 years combined,London,ONS geography code,E12000007,All,16+,All,All,69.41473401,%,1417,1.224044023,67.01560772,71.81386029
Confidence in police - Crime Survey England and Wales,Black,ONS 2011  5 + 1,"2014/15, 2015/16 and 2016/17",3 years combined,City of London / Metropolitan Police,ONS geography code,E12000007,All,16+,All,All,69.41473401,%,1417,1.224044023,67.01560772,71.81386029
Confidence in police - Crime Survey England and Wales,Black,ONS 2011  5 + 1,"2014/15, 2015/16 and 2016/17",3 years combined,South East,ONS geography code,E12000008,All,16+,All,All,75.11196642,%,199,3.064949476,69.10466545,81.11926739
Confidence in police - Crime Survey England and Wales,Black,ONS 2011  5 + 1,"2014/15, 2015/16 and 2016/17",3 years combined,Hampshire,ONS geography code,E23000030,All,16+,All,All,?,%,24,?,?,?
Confidence in police - Crime Survey England and Wales,Black,ONS 2011  5 + 1,"2014/15, 2015/16 and 2016/17",3 years combined,Kent,ONS geography code,E23000032,All,16+,All,All,?,%,37,?,?,?
Confidence in police - Crime Survey England and Wales,Black,ONS 2011  5 + 1,"2014/15, 2015/16 and 2016/17",3 years combined,Surrey,ONS geography code,E23000031,All,16+,All,All,?,%,24,?,?,?
Confidence in police - Crime Survey England and Wales,Black,ONS 2011  5 + 1,"2014/15, 2015/16 and 2016/17",3 years combined,Sussex,ONS geography code,E23000033,All,16+,All,All,?,%,19,?,?,?
Confidence in police - Crime Survey England and Wales,Black,ONS 2011  5 + 1,"2014/15, 2015/16 and 2016/17",3 years combined,Thames Valley,ONS geography code,E23000029,All,16+,All,All,?,%,95,?,?,?
Confidence in police - Crime Survey England and Wales,Black,ONS 2011  5 + 1,"2014/15, 2015/16 and 2016/17",3 years combined,South West,ONS geography code,E12000009,All,16+,All,All,66.41517402,%,77,5.382200175,55.86606167,76.96428636
Confidence in police - Crime Survey England and Wales,Black,ONS 2011  5 + 1,"2014/15, 2015/16 and 2016/17",3 years combined,Avon and Somerset,ONS geography code,E23000036,All,16+,All,All,?,%,38,?,?,?
Confidence in police - Crime Survey England and Wales,Black,ONS 2011  5 + 1,"2014/15, 2015/16 and 2016/17",3 years combined,Devon and Cornwall,ONS geography code,E23000035,All,16+,All,All,?,%,2,?,?,?
Confidence in police - Crime Survey England and Wales,Black,ONS 2011  5 + 1,"2014/15, 2015/16 and 2016/17",3 years combined,Dorset,ONS geography code,E23000039,All,16+,All,All,?,%,8,?,?,?
Confidence in police - Crime Survey England and Wales,Black,ONS 2011  5 + 1,"2014/15, 2015/16 and 2016/17",3 years combined,Gloucestershire,ONS geography code,E23000037,All,16+,All,All,?,%,20,?,?,?
Confidence in police - Crime Survey England and Wales,Black,ONS 2011  5 + 1,"2014/15, 2015/16 and 2016/17",3 years combined,Wiltshire,ONS geography code,E23000038,All,16+,All,All,?,%,9,?,?,?
Confidence in police - Crime Survey England and Wales,Black,ONS 2011  5 + 1,"2014/15, 2015/16 and 2016/17",3 years combined,Wales,ONS geography code,W92000004,All,16+,All,All,?,%,39,?,?,?
Confidence in police - Crime Survey England and Wales,Black,ONS 2011  5 + 1,"2014/15, 2015/16 and 2016/17",3 years combined,Dyfed-Powys,ONS geography code,W15000004,All,16+,All,All,?,%,3,?,?,?
Confidence in police - Crime Survey England and Wales,Black,ONS 2011  5 + 1,"2014/15, 2015/16 and 2016/17",3 years combined,Gwent,ONS geography code,W15000002,All,16+,All,All,?,%,11,?,?,?
Confidence in police - Crime Survey England and Wales,Black,ONS 2011  5 + 1,"2014/15, 2015/16 and 2016/17",3 years combined,North Wales,ONS geography code,W15000001,All,16+,All,All,?,%,5,?,?,?
Confidence in police - Crime Survey England and Wales,Black,ONS 2011  5 + 1,"2014/15, 2015/16 and 2016/17",3 years combined,South Wales,ONS geography code,W15000003,All,16+,All,All,?,%,20,?,?,?
Confidence in police - Crime Survey England and Wales,Other,ONS 2011  5 + 1,"2014/15, 2015/16 and 2016/17",3 years combined,England and Wales,ONS geography code,K04000001,All,16+,All,All,77.61181572,%,817,1.458351895,74.753446,80.47018543
Confidence in police - Crime Survey England and Wales,Other,ONS 2011  5 + 1,"2014/15, 2015/16 and 2016/17",3 years combined,North East,ONS geography code,E12000001,All,16+,All,All,?,%,20,?,?,?
Confidence in police - Crime Survey England and Wales,Other,ONS 2011  5 + 1,"2014/15, 2015/16 and 2016/17",3 years combined,Cleveland,ONS geography code,E23000013,All,16+,All,All,?,%,3,?,?,?
Confidence in police - Crime Survey England and Wales,Other,ONS 2011  5 + 1,"2014/15, 2015/16 and 2016/17",3 years combined,Durham,ONS geography code,E23000008,All,16+,All,All,?,%,4,?,?,?
Confidence in police - Crime Survey England and Wales,Other,ONS 2011  5 + 1,"2014/15, 2015/16 and 2016/17",3 years combined,Northumbria,ONS geography code,E23000007,All,16+,All,All,?,%,13,?,?,?
Confidence in police - Crime Survey England and Wales,Other,ONS 2011  5 + 1,"2014/15, 2015/16 and 2016/17",3 years combined,North West,ONS geography code,E12000002,All,16+,All,All,74.49880201,%,69,5.247233501,64.21422435,84.78337968
