Measure,Time,Time_type,Ethnicity,Ethnicity_type,Geography,Geography_type, Number of stop and searches , Total number of stop and search carried out in this year in this area (excluding cases where the ethnicity was unreported) ,Population by ethnicity,"Rate per 1,000 population by ethnicity",Proportion of total stop and searches of this ethnicity in the financial year (excludes unreported),Notes
Number of stops and searches carried out (excluding vehicle only searches),2006/07,Financial year,All,All,Avon & Somerset,Police Force Area,"15,018","9,050","1,599,555",9.39,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2006/07,Financial year,All,All,Bedfordshire,Police Force Area,"4,768","4,279","615,061",7.75,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2006/07,Financial year,All,All,Cambridgeshire,Police Force Area,"8,773","8,582","804,841",10.9,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2006/07,Financial year,All,All,Cheshire,Police Force Area,"6,472","6,390","1,027,709",6.3,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2006/07,Financial year,All,All,Cleveland,Police Force Area,"12,137","11,453","557,227",21.78,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2006/07,Financial year,All,All,Cumbria,Police Force Area,"8,221","8,071","499,858",16.45,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2006/07,Financial year,All,All,Derbyshire,Police Force Area,"8,535","8,368","1,018,438",8.38,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2006/07,Financial year,All,All,Devon & Cornwall,Police Force Area,"26,176","24,411","1,668,218",15.69,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2006/07,Financial year,All,All,Dorset,Police Force Area,"6,653","6,543","744,041",8.94,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2006/07,Financial year,All,All,Durham,Police Force Area,"8,320","8,302","618,806",13.45,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2006/07,Financial year,All,All,Dyfed-Powys,Police Force Area,"8,430","8,384","515,114",16.37,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2006/07,Financial year,All,All,Essex,Police Force Area,"9,764","9,604","1,724,950",5.66,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2006/07,Financial year,All,All,Gloucestershire,Police Force Area,"4,890","4,837","596,984",8.19,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2006/07,Financial year,All,All,Greater Manchester,Police Force Area,"46,091","45,408","2,682,528",17.18,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2006/07,Financial year,All,All,Gwent,Police Force Area,"5,714","5,627","576,754",9.91,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2006/07,Financial year,All,All,Hampshire,Police Force Area,"23,691","23,137","1,897,991",12.48,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2006/07,Financial year,All,All,Hertfordshire,Police Force Area,"10,715","10,276","1,116,062",9.6,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2006/07,Financial year,All,All,Humberside,Police Force Area,"10,027","9,856","917,647",10.93,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2006/07,Financial year,All,All,Kent,Police Force Area,"14,186","13,888","1,727,665",8.21,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2006/07,Financial year,All,All,Lancashire,Police Force Area,"17,957","17,874","1,460,893",12.29,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2006/07,Financial year,All,All,Leicestershire,Police Force Area,"20,368","19,364","1,017,697",20.01,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2006/07,Financial year,All,All,Lincolnshire,Police Force Area,"8,696","8,609","713,653",12.19,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2006/07,Financial year,All,All,"London, City of",Police Force Area,"7,882","6,912", N/A , N/A ,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2006/07,Financial year,All,All,Merseyside,Police Force Area,"48,427","47,870","1,381,189",35.06,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2006/07,Financial year,All,All,Metropolitan Police,Police Force Area,"365,068","294,467","8,166,566",44.7,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2006/07,Financial year,All,All,Norfolk,Police Force Area,"8,509","8,298","857,888",9.92,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2006/07,Financial year,All,All,North Wales,Police Force Area,"14,625","14,537","687,937",21.26,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2006/07,Financial year,All,All,North Yorkshire,Police Force Area,"10,710","9,415","796,427",13.45,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2006/07,Financial year,All,All,Northamptonshire,Police Force Area,"13,607","13,176","691,952",19.66,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2006/07,Financial year,All,All,Northumbria,Police Force Area,"33,867","33,759","1,420,853",23.84,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2006/07,Financial year,All,All,Nottinghamshire,Police Force Area,"9,946","8,640","1,091,482",9.11,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2006/07,Financial year,All,All,South Wales,Police Force Area,"18,318","18,023","1,283,651",14.27,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2006/07,Financial year,All,All,South Yorkshire,Police Force Area,"20,034","19,042","1,343,601",14.91,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2006/07,Financial year,All,All,Staffordshire,Police Force Area,"19,272","19,146","1,097,497",17.56,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2006/07,Financial year,All,All,Suffolk,Police Force Area,"4,192","4,059","728,163",5.76,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2006/07,Financial year,All,All,Surrey,Police Force Area,"15,337","13,970","1,132,390",13.54,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2006/07,Financial year,All,All,Sussex,Police Force Area,"15,898","14,988","1,606,932",9.89,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2006/07,Financial year,All,All,Thames Valley,Police Force Area,"29,004","25,880","2,269,772",12.78,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2006/07,Financial year,All,All,Warwickshire,Police Force Area,"5,088","5,020","545,474",9.33,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2006/07,Financial year,All,All,West Mercia,Police Force Area,"12,125","11,652","1,222,416",9.92,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2006/07,Financial year,All,All,West Midlands,Police Force Area,"32,337","25,364","2,736,460",11.82,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2006/07,Financial year,All,All,West Yorkshire,Police Force Area,"63,451","61,178","2,226,058",28.5,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2006/07,Financial year,All,All,Wiltshire,Police Force Area,"4,436","4,356","680,137",6.52,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2006/07,Financial year,All,All,All - excluding BTP,Police Force Area,"1,037,735","932,065","56,075,912",18.51,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2007/08,Financial year,All,All,Avon & Somerset,Police Force Area,"11,806","8,722","1,599,555",7.38,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2007/08,Financial year,All,All,Bedfordshire,Police Force Area,"5,025","4,614","615,061",8.17,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2007/08,Financial year,All,All,Cambridgeshire,Police Force Area,"10,053","9,811","804,841",12.49,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2007/08,Financial year,All,All,Cheshire,Police Force Area,"5,623","5,547","1,027,709",5.47,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2007/08,Financial year,All,All,Cleveland,Police Force Area,"15,822","15,573","557,227",28.39,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2007/08,Financial year,All,All,Cumbria,Police Force Area,"8,972","8,849","499,858",17.95,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2007/08,Financial year,All,All,Derbyshire,Police Force Area,"8,293","7,999","1,018,438",8.14,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2007/08,Financial year,All,All,Devon & Cornwall,Police Force Area,"22,032","20,731","1,668,218",13.21,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2007/08,Financial year,All,All,Dorset,Police Force Area,"7,910","7,786","744,041",10.63,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2007/08,Financial year,All,All,Durham,Police Force Area,"7,957","7,950","618,806",12.86,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2007/08,Financial year,All,All,Dyfed-Powys,Police Force Area,"7,106","7,049","515,114",13.8,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2007/08,Financial year,All,All,Essex,Police Force Area,"13,802","13,588","1,724,950",8,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2007/08,Financial year,All,All,Gloucestershire,Police Force Area,"5,582","5,554","596,984",9.35,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2007/08,Financial year,All,All,Greater Manchester,Police Force Area,"50,694","50,038","2,682,528",18.9,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2007/08,Financial year,All,All,Gwent,Police Force Area,"7,362","7,275","576,754",12.76,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2007/08,Financial year,All,All,Hampshire,Police Force Area,"25,098","24,400","1,897,991",13.22,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2007/08,Financial year,All,All,Hertfordshire,Police Force Area,"11,962","11,788","1,116,062",10.72,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2007/08,Financial year,All,All,Humberside,Police Force Area,"11,819","11,689","917,647",12.88,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2007/08,Financial year,All,All,Kent,Police Force Area,"15,784","15,487","1,727,665",9.14,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2007/08,Financial year,All,All,Lancashire,Police Force Area,"22,996","22,878","1,460,893",15.74,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2007/08,Financial year,All,All,Leicestershire,Police Force Area,"21,851","20,890","1,017,697",21.47,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2007/08,Financial year,All,All,Lincolnshire,Police Force Area,"11,945","11,818","713,653",16.74,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2007/08,Financial year,All,All,"London, City of",Police Force Area,"8,418","7,581", N/A , N/A ,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2007/08,Financial year,All,All,Merseyside,Police Force Area,"65,408","64,607","1,381,189",47.36,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2007/08,Financial year,All,All,Metropolitan Police,Police Force Area,"513,234","448,957","8,166,566",62.85,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2007/08,Financial year,All,All,Norfolk,Police Force Area,"8,721","8,541","857,888",10.17,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2007/08,Financial year,All,All,North Wales,Police Force Area,"12,039","11,940","687,937",17.5,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2007/08,Financial year,All,All,North Yorkshire,Police Force Area,"9,942","9,429","796,427",12.48,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2007/08,Financial year,All,All,Northamptonshire,Police Force Area,"14,212","14,036","691,952",20.54,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2007/08,Financial year,All,All,Northumbria,Police Force Area,"29,125","28,937","1,420,853",20.5,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2007/08,Financial year,All,All,Nottinghamshire,Police Force Area,"6,387","5,848","1,091,482",5.85,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2007/08,Financial year,All,All,South Wales,Police Force Area,"19,173","18,952","1,283,651",14.94,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2007/08,Financial year,All,All,South Yorkshire,Police Force Area,"21,319","20,530","1,343,601",15.87,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2007/08,Financial year,All,All,Staffordshire,Police Force Area,"17,303","17,186","1,097,497",15.77,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2007/08,Financial year,All,All,Suffolk,Police Force Area,"5,526","5,373","728,163",7.59,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2007/08,Financial year,All,All,Surrey,Police Force Area,"19,110","18,016","1,132,390",16.88,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2007/08,Financial year,All,All,Sussex,Police Force Area,"27,198","25,703","1,606,932",16.93,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2007/08,Financial year,All,All,Thames Valley,Police Force Area,"27,860","25,330","2,269,772",12.27,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2007/08,Financial year,All,All,Warwickshire,Police Force Area,"3,893","3,821","545,474",7.14,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2007/08,Financial year,All,All,West Mercia,Police Force Area,"10,764","10,428","1,222,416",8.81,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2007/08,Financial year,All,All,West Midlands,Police Force Area,"31,305","27,826","2,736,460",11.44,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2007/08,Financial year,All,All,West Yorkshire,Police Force Area,"50,015","48,392","2,226,058",22.47,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2007/08,Financial year,All,All,Wiltshire,Police Force Area,"4,247","4,178","680,137",6.24,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2007/08,Financial year,All,All,All - excluding BTP,Police Force Area,"1,214,693","1,125,647","56,075,912",21.66,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2008/09,Financial year,All,All,Avon & Somerset,Police Force Area,"18,306","12,772","1,599,555",11.44,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2008/09,Financial year,All,All,Bedfordshire,Police Force Area,"8,465","8,076","615,061",13.76,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2008/09,Financial year,All,All,Cambridgeshire,Police Force Area,"5,437","5,286","804,841",6.76,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2008/09,Financial year,All,All,Cheshire,Police Force Area,"5,046","4,976","1,027,709",4.91,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2008/09,Financial year,All,All,Cleveland,Police Force Area,"17,576","17,357","557,227",31.54,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2008/09,Financial year,All,All,Cumbria,Police Force Area,"8,813","8,588","499,858",17.63,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2008/09,Financial year,All,All,Derbyshire,Police Force Area,"7,822","7,695","1,018,438",7.68,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2008/09,Financial year,All,All,Devon & Cornwall,Police Force Area,"22,963","21,875","1,668,218",13.76,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2008/09,Financial year,All,All,Dorset,Police Force Area,"6,489","6,426","744,041",8.72,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2008/09,Financial year,All,All,Durham,Police Force Area,"5,294","5,249","618,806",8.56,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2008/09,Financial year,All,All,Dyfed-Powys,Police Force Area,"10,403","10,141","515,114",20.2,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2008/09,Financial year,All,All,Essex,Police Force Area,"12,806","12,318","1,724,950",7.42,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2008/09,Financial year,All,All,Gloucestershire,Police Force Area,"6,277","6,227","596,984",10.51,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2008/09,Financial year,All,All,Greater Manchester,Police Force Area,"53,031","52,329","2,682,528",19.77,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2008/09,Financial year,All,All,Gwent,Police Force Area,"6,943","6,859","576,754",12.04,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2008/09,Financial year,All,All,Hampshire,Police Force Area,"26,484","25,589","1,897,991",13.95,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2008/09,Financial year,All,All,Hertfordshire,Police Force Area,"19,164","18,796","1,116,062",17.17,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2008/09,Financial year,All,All,Humberside,Police Force Area,"11,322","11,077","917,647",12.34,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2008/09,Financial year,All,All,Kent,Police Force Area,"17,710","17,225","1,727,665",10.25,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2008/09,Financial year,All,All,Lancashire,Police Force Area,"23,044","22,899","1,460,893",15.77,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2008/09,Financial year,All,All,Leicestershire,Police Force Area,"20,273","19,250","1,017,697",19.92,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2008/09,Financial year,All,All,Lincolnshire,Police Force Area,"13,427","13,353","713,653",18.81,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2008/09,Financial year,All,All,"London, City of",Police Force Area,"8,030","7,300", N/A , N/A ,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2008/09,Financial year,All,All,Merseyside,Police Force Area,"69,656","68,915","1,381,189",50.43,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2008/09,Financial year,All,All,Metropolitan Police,Police Force Area,"781,097","721,451","8,166,566",95.65,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2008/09,Financial year,All,All,Norfolk,Police Force Area,"11,717","11,467","857,888",13.66,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2008/09,Financial year,All,All,North Wales,Police Force Area,"8,298","8,229","687,937",12.06,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2008/09,Financial year,All,All,North Yorkshire,Police Force Area,"9,588","9,086","796,427",12.04,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2008/09,Financial year,All,All,Northamptonshire,Police Force Area,"11,675","11,542","691,952",16.87,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2008/09,Financial year,All,All,Northumbria,Police Force Area,"32,397","32,281","1,420,853",22.8,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2008/09,Financial year,All,All,Nottinghamshire,Police Force Area,"4,969","4,556","1,091,482",4.55,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2008/09,Financial year,All,All,South Wales,Police Force Area,"18,776","18,463","1,283,651",14.63,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2008/09,Financial year,All,All,South Yorkshire,Police Force Area,"27,850","26,816","1,343,601",20.73,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2008/09,Financial year,All,All,Staffordshire,Police Force Area,"10,369","10,309","1,097,497",9.45,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2008/09,Financial year,All,All,Suffolk,Police Force Area,"6,103","5,978","728,163",8.38,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2008/09,Financial year,All,All,Surrey,Police Force Area,"17,678","17,079","1,132,390",15.61,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2008/09,Financial year,All,All,Sussex,Police Force Area,"19,584","18,311","1,606,932",12.19,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2008/09,Financial year,All,All,Thames Valley,Police Force Area,"29,882","27,330","2,269,772",13.17,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2008/09,Financial year,All,All,Warwickshire,Police Force Area,"5,674","5,586","545,474",10.4,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2008/09,Financial year,All,All,West Mercia,Police Force Area,"12,361","12,043","1,222,416",10.11,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2008/09,Financial year,All,All,West Midlands,Police Force Area,"28,703","26,362","2,736,460",10.49,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2008/09,Financial year,All,All,West Yorkshire,Police Force Area,"48,806","47,383","2,226,058",21.92,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2008/09,Financial year,All,All,Wiltshire,Police Force Area,"5,071","4,952","680,137",7.46,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2008/09,Financial year,All,All,All - excluding BTP,Police Force Area,"1,495,379","1,409,802","56,075,912",26.67,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2009/10,Financial year,All,All,Avon & Somerset,Police Force Area,"16,624","12,983","1,599,555",10.39,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2009/10,Financial year,All,All,Bedfordshire,Police Force Area,"7,295","6,908","615,061",11.86,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2009/10,Financial year,All,All,British Transport Police,Police Force Area,"45,745","39,484", N/A , N/A ,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2009/10,Financial year,All,All,Cambridgeshire,Police Force Area,"6,293","6,070","804,841",7.82,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2009/10,Financial year,All,All,Cheshire,Police Force Area,"5,279","5,193","1,027,709",5.14,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2009/10,Financial year,All,All,Cleveland,Police Force Area,"24,489","24,197","557,227",43.95,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2009/10,Financial year,All,All,Cumbria,Police Force Area,"10,603","10,365","499,858",21.21,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2009/10,Financial year,All,All,Derbyshire,Police Force Area,"8,523","8,411","1,018,438",8.37,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2009/10,Financial year,All,All,Devon & Cornwall,Police Force Area,"24,042","22,967","1,668,218",14.41,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2009/10,Financial year,All,All,Dorset,Police Force Area,"6,571","6,561","744,041",8.83,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2009/10,Financial year,All,All,Durham,Police Force Area,"5,911","5,835","618,806",9.55,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2009/10,Financial year,All,All,Dyfed-Powys,Police Force Area,"12,298","12,048","515,114",23.87,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2009/10,Financial year,All,All,Essex,Police Force Area,"9,692","9,359","1,724,950",5.62,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2009/10,Financial year,All,All,Gloucestershire,Police Force Area,"5,510","5,464","596,984",9.23,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2009/10,Financial year,All,All,Greater Manchester,Police Force Area,"42,527","41,562","2,682,528",15.85,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2009/10,Financial year,All,All,Gwent,Police Force Area,"9,122","9,022","576,754",15.82,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2009/10,Financial year,All,All,Hampshire,Police Force Area,"21,920","21,096","1,897,991",11.55,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2009/10,Financial year,All,All,Hertfordshire,Police Force Area,"13,142","12,847","1,116,062",11.78,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2009/10,Financial year,All,All,Humberside,Police Force Area,"9,624","9,485","917,647",10.49,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2009/10,Financial year,All,All,Kent,Police Force Area,"14,981","14,764","1,727,665",8.67,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2009/10,Financial year,All,All,Lancashire,Police Force Area,"26,687","26,384","1,460,893",18.27,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2009/10,Financial year,All,All,Leicestershire,Police Force Area,"24,384","23,349","1,017,697",23.96,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2009/10,Financial year,All,All,Lincolnshire,Police Force Area,"10,562","10,521","713,653",14.8,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2009/10,Financial year,All,All,"London, City of",Police Force Area,"6,086","5,420", N/A , N/A ,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2009/10,Financial year,All,All,Merseyside,Police Force Area,"60,182","59,659","1,381,189",43.57,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2009/10,Financial year,All,All,Metropolitan Police,Police Force Area,"661,989","624,009","8,166,566",81.06,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2009/10,Financial year,All,All,Norfolk,Police Force Area,"13,350","13,075","857,888",15.56,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2009/10,Financial year,All,All,North Wales,Police Force Area,"6,276","6,212","687,937",9.12,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2009/10,Financial year,All,All,North Yorkshire,Police Force Area,"6,583","6,260","796,427",8.27,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2009/10,Financial year,All,All,Northamptonshire,Police Force Area,"11,839","11,737","691,952",17.11,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2009/10,Financial year,All,All,Northumbria,Police Force Area,"39,504","39,383","1,420,853",27.8,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2009/10,Financial year,All,All,Nottinghamshire,Police Force Area,"6,162","5,451","1,091,482",5.65,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2009/10,Financial year,All,All,South Wales,Police Force Area,"15,977","15,846","1,283,651",12.45,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2009/10,Financial year,All,All,South Yorkshire,Police Force Area,"28,638","27,555","1,343,601",21.31,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2009/10,Financial year,All,All,Staffordshire,Police Force Area,"7,711","7,655","1,097,497",7.03,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2009/10,Financial year,All,All,Suffolk,Police Force Area,"4,539","4,262","728,163",6.23,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2009/10,Financial year,All,All,Surrey,Police Force Area,"13,992","13,672","1,132,390",12.36,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2009/10,Financial year,All,All,Sussex,Police Force Area,"19,959","18,289","1,606,932",12.42,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2009/10,Financial year,All,All,Thames Valley,Police Force Area,"43,036","39,733","2,269,772",18.96,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2009/10,Financial year,All,All,Warwickshire,Police Force Area,"8,114","7,974","545,474",14.88,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2009/10,Financial year,All,All,West Mercia,Police Force Area,"12,107","11,775","1,222,416",9.9,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2009/10,Financial year,All,All,West Midlands,Police Force Area,"20,222","18,674","2,736,460",7.39,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2009/10,Financial year,All,All,West Yorkshire,Police Force Area,"37,152","36,439","2,226,058",16.69,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2009/10,Financial year,All,All,Wiltshire,Police Force Area,"5,837","5,726","680,137",8.58,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2009/10,Financial year,All,All,All - excluding BTP,Police Force Area,"1,345,334","1,284,197","56,075,912",23.99,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2009/10,Financial year,All,All,All - including BTP,Police Force Area,"1,391,079","1,323,681","56,075,912",24.81,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2010/11,Financial year,All,All,Avon & Somerset,Police Force Area,"19,304","14,940","1,599,555",12.07,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2010/11,Financial year,All,All,Bedfordshire,Police Force Area,"9,523","8,856","615,061",15.48,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2010/11,Financial year,All,All,British Transport Police,Police Force Area,"19,515","17,521", N/A , N/A ,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2010/11,Financial year,All,All,Cambridgeshire,Police Force Area,"13,574","13,145","804,841",16.87,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2010/11,Financial year,All,All,Cheshire,Police Force Area,"6,068","6,002","1,027,709",5.9,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2010/11,Financial year,All,All,Cleveland,Police Force Area,"30,327","29,911","557,227",54.42,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2010/11,Financial year,All,All,Cumbria,Police Force Area,"10,508","10,183","499,858",21.02,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2010/11,Financial year,All,All,Derbyshire,Police Force Area,"11,508","11,336","1,018,438",11.3,N/A,
Number of stops and searches carried out (excluding vehicle only searches),2010/11,Financial year,All,All,Devon & Cornwall,Police Force Area,"20,360","19,460","1,668,218",12.2,N/A,
